Provinsi/Kabupaten/Kota/Indonesia,,
,Rata-rata Lama Sekolah (RLS) menurut Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
,2025,2025
ACEH,10.07,9.83
Simeulue,10.36,9.66
Aceh Singkil,9.35,8.64
Aceh Selatan,9.38,8.79
Aceh Tenggara,10.75,10.11
Aceh Timur,8.93,8.63
Aceh Tengah,10.37,10.27
Aceh Barat,10.34,10.1
Aceh Besar,10.81,10.69
Pidie,9.78,9.04
Bireuen,9.99,9.8
Aceh Utara,9.59,9.21
Aceh Barat Daya,9.28,9.01
Gayo Lues,9.28,8.17
Aceh Tamiang,9.53,9.25
Nagan Raya,9.72,9.4
Aceh Jaya,9.6,8.9
Bener Meriah,10.43,10.36
Pidie Jaya,10.03,9.65
Kota Banda Aceh,13.47,13.29
Kota Sabang,11.35,11.22
Kota Langsa,11.7,11.38
Kota Lhokseumawe,11.71,11.64
Kota Subulussalam,9.31,8.21
SUMATERA UTARA,10.25,9.92
Nias,7.69,5.47
Mandailing Natal,9.37,9.08
Tapanuli Selatan,9.88,9.38
Tapanuli Tengah,9.21,8.91
Tapanuli Utara,10.73,10.33
Toba Samosir / Toba,10.94,10.66
Labuhan Batu,9.74,9.31
Asahan,9.31,8.86
Simalungun,9.94,9.55
Dairi,10.15,10.06
Karo,10.28,10.3
Deli Serdang,10.88,10.46
Langkat,9.06,8.55
Nias Selatan,7.51,5.81
Humbang Hasundutan,10.58,10.11
Pakpak Bharat,10.12,9.58
Samosir,10.26,9.35
Serdang Bedagai,9.34,8.92
Batu Bara,8.92,8.63
Padang Lawas Utara,10.22,9.89
Padang Lawas,9.76,9.49
Labuhan Batu Selatan,9.46,9.23
Labuhan Batu Utara,9.42,8.99
Nias Utara,8.41,6.12
Nias Barat,9.06,6.29
Kota Sibolga,10.44,10.47
Kota Tanjung Balai,9.64,10.14
Kota Pematang Siantar,11.91,11.76
Kota Tebing Tinggi,11.13,10.87
Kota Medan,11.87,11.75
Kota Binjai,11.4,11.06
Kota Padangsidimpuan,11.29,11.14
Kota Gunungsitoli,10.15,8.17
SUMATERA BARAT,9.61,9.89
Kepulauan Mentawai,8.47,7.77
Pesisir Selatan,8.98,9.1
Solok,8.28,8.15
Sijunjung,8.68,8.66
Tanah Datar,9.21,9.6
Padang Pariaman,9.07,8.65
Agam,9.14,9.7
Lima Puluh Kota,8.77,8.48
Pasaman,8.54,8.47
Solok Selatan,9.01,9.3
Dharmasraya,9.28,9.31
Pasaman Barat,9.3,9.2
Kota Padang,11.73,11.63
Kota Solok,11.26,11.54
Kota Sawah Lunto,10.42,10.69
Kota Padang Panjang,11.71,12.24
Kota Bukittinggi,11.48,11.82
Kota Payakumbuh,10.85,11.23
Kota Pariaman,11.17,11.41
RIAU,9.62,9.48
Kuantan Singingi,9.61,9.15
Indragiri Hulu,8.89,8.55
